K,d,h,J
10,3,0.1,0.003271561196348852
30,3,0.1,0.004629531959077177
15,4,0.05,0.0052069189531486785
15,3,0.05,0.005296849937155035
10,2,0.1,0.005367696319488213
20,4,0.05,0.005804047738868283
30,2,0.05,0.00709402862472233
30,3,0.05,0.010516813811670049
15,2,0.05,0.012990008681418645
15,4,0.2,0.017314834179625246
20,4,0.2,0.04391042354843983
30,3,0.3,0.09126767799153093
20,2,0.2,0.12304307767212048
15,3,0.1,0.1670889778703457
10,4,0.05,0.4238400904177708
20,2,0.05,0.5825333046194769
10,4,0.3,0.7548827424721246
10,2,0.05,1.4287670778887012
15,2,0.1,1.8596301426554307
10,3,0.3,3.1346805380755933
10,4,0.1,3.7410943469723215
20,3,0.2,4.019325067762274
23,2,0.3,4.238484746553782
23,4,0.05,5.0059434744314295
23,4,0.1,6.061514763635319
23,3,0.1,6.403274646122401
15,2,0.2,6.554869420126508
30,2,0.2,6.874082511999463
10,3,0.4,6.960506650869646
10,3,0.05,11.169582044442926
23,3,0.2,11.806516327048188
23,2,0.2,12.705081158626975
20,2,0.1,13.096046087489611
20,4,0.1,13.28976282196765
30,3,0.2,13.482450013433413
10,4,0.2,13.589194106354878
30,4,0.05,14.071233430220738
30,4,0.1,14.344888477155191
15,4,0.1,15.771465300244857
23,3,0.05,15.803877525702994
20,3,0.05,16.23978952384245
10,3,0.2,16.254516769434428
15,2,0.3,16.30203738183365
30,2,0.1,16.937285821441062
23,2,0.1,16.981529927175753
20,2,0.3,18.839259673180074
23,4,0.2,25.504865208473717
10,2,0.2,25.862224543990354
23,2,0.05,27.603747792075694
30,4,0.2,28.920584241085656
20,3,0.1,31.48540713383651
10,2,0.3,62.48918952063585
23,4,0.3,74.29220673492374
15,3,0.4,83.5173323375265
15,3,0.2,168.17764041869395
15,4,0.4,179.98456961054742
15,3,0.3,195.89331845493123
20,3,0.3,315.0886127443345
30,4,0.3,2195.366863964938
15,4,0.3,2578.2322528680897
30,3,0.4,2868.0126722182704
23,3,0.3,3348.494989309466
10,4,0.4,3531.9465327022353
20,3,0.4,5121.344769628114
20,4,0.3,6827.307193770606
23,2,0.4,7164.136696177005
20,2,0.4,7212.19963438435
23,3,0.4,11999.983656377104
10,2,0.4,26641.64859756123
30,4,0.4,38606.01985310573
20,4,0.4,62446.341006059134
30,2,0.4,70373.84268267525
15,2,0.4,127233.25765688224
30,2,0.3,148960.8143098132
23,4,0.4,449981.9393745861
