K,d,h,J
20,4,0.2,0.010226810921756606
30,4,0.1,0.013304860997867618
20,3,0.05,0.019251335903161904
10,4,0.3,0.019608874258294003
23,4,0.3,0.02235923607703792
15,4,0.1,0.025260685583598445
30,3,0.2,0.027731801635807934
23,4,0.2,0.02799510094107602
15,3,0.3,0.030741046409628048
30,3,0.3,0.03217219890534309
15,4,0.2,0.03484930851761119
30,4,0.2,0.03655816387600784
23,3,0.05,0.03659250232932976
10,4,0.2,0.03686457095238263
20,4,0.05,0.03760685754540483
20,4,0.1,0.03770372886419843
15,3,0.1,0.04089652321393802
30,4,0.05,0.04181126118125176
20,3,0.3,0.041945739088735
30,3,0.1,0.04226072925191241
20,4,0.3,0.042413198746748884
23,4,0.1,0.04303391225259765
23,3,0.1,0.043772497898706256
20,3,0.1,0.04442673220328442
20,3,0.2,0.04643465811882336
23,3,0.2,0.04658875353115514
10,3,0.1,0.046725920005683014
10,3,0.2,0.04897877872139074
10,3,0.4,0.05457619930082438
30,3,0.05,0.056490956505595595
23,4,0.05,0.05670802411468806
15,3,0.2,0.06152635854704701
10,4,0.05,0.06411154268040892
15,4,0.05,0.07571510262995969
10,4,0.1,0.08723223655187648
10,3,0.3,0.09153672053145626
15,3,0.05,0.09395715014947566
30,4,0.3,0.10956105297105118
15,4,0.3,0.13995466030104645
15,4,0.4,0.18804387153850619
23,4,0.4,0.20786206230531062
15,3,0.4,0.26417602026250797
23,3,0.4,0.2931376504059421
30,4,0.4,0.3203379431786455
10,3,0.05,0.35792565627687584
23,3,0.3,0.402516708560378
20,4,0.4,0.439333298160895
30,2,0.4,0.47448035484074935
20,2,0.4,0.5033152801373663
15,2,0.4,0.6736855417257958
20,3,0.4,0.6923284469381267
15,2,0.3,0.9280198569065085
10,4,0.4,1.0859661647499748
23,2,0.2,1.7489037520991595
23,2,0.3,2.1647765872109375
30,2,0.1,2.2188373952029115
20,2,0.2,2.8606393932064567
30,2,0.3,3.00436344501001
20,2,0.3,3.022374130677114
15,2,0.2,3.4124847512250094
30,2,0.2,3.5347524975418954
23,2,0.4,4.391926673645817
30,3,0.4,5.196804276016569
23,2,0.1,7.734755431030943
10,2,0.4,10.620577772995535
10,2,0.2,13.061936920906179
10,2,0.3,14.608264760439956
15,2,0.1,19.57284811886913
20,2,0.1,25.063113533958315
30,2,0.05,25.747523436340202
23,2,0.05,27.15990547235753
10,2,0.1,28.238401692899085
20,2,0.05,30.495955976249103
15,2,0.05,35.478491658180566
10,2,0.05,41.74456144365092
