K,d,h,J,Ratio
23,3,0.05,0.0017333306245272734,1.0
15,3,0.05,0.0017845713443226622,1.0
10,3,0.05,0.0022307157504995886,1.0
30,2,0.05,0.0026065825100108804,1.0
20,4,0.05,0.0028728688235906625,1.0
20,4,0.2,0.0029106766995013553,1.0
20,3,0.2,0.003009442395032116,1.0
20,3,0.05,0.005130426635304225,1.0
23,3,0.1,0.007301579888689475,1.0
30,4,0.05,0.007675006511513876,1.0
15,4,0.05,0.008305904137592643,1.0
23,3,0.2,0.00901626456814206,1.0
10,2,0.05,0.013953332867447502,1.0
10,2,0.4,0.02273397655426624,1.0
30,3,0.1,0.1517047377529474,1.0
23,4,0.2,0.5477647818614453,0.872
23,4,0.1,0.6108297430103228,0.969
20,3,0.1,0.6286302854319876,0.867
15,3,0.2,0.747547090410545,0.92
30,2,0.3,0.7657092849234293,0.865
30,2,0.4,101599.10620755095,0.0
20,4,0.1,10.65188028103694,0.0
20,3,0.3,109.83095832072142,0.116
20,4,0.3,113.5104146666742,0.211
23,2,0.05,11.583240983057719,0.0
15,2,0.2,118.96833569881186,0.022
30,4,0.2,12.065181625949586,0.225
23,3,0.3,1252.8226541474555,0.017
10,4,0.2,12.547604960446169,0.0
30,4,0.4,125801.47563304617,0.0
20,3,0.4,1269.6890447264436,0.014
23,4,0.05,12.816188723664673,0.0
10,4,0.1,1.3149360222785877,0.717
15,4,0.2,13.346111639345553,0.0
15,4,0.1,13.619038608988543,0.0
20,2,0.1,13.811469479150576,0.0
30,2,0.1,13.982152830756027,0.0
30,3,0.4,1455.0117624939355,0.046
10,3,0.2,14.589030487545415,0.0
10,3,0.3,1.524760240426061,0.52
30,3,0.05,15.325419133825537,0.0
15,3,0.4,155.04254528255407,0.048
10,4,0.05,15.539825026518706,0.0
15,2,0.05,1.5815372288080023,0.607
20,2,0.05,16.161818705040815,0.0
30,2,0.2,16.90477449745924,0.0
10,2,0.1,1.7773772279479731,0.261
10,2,0.3,18.655617160886198,0.0
10,4,0.4,204.63048294284,0.11
20,4,0.4,2157.5680896543886,0.011
15,3,0.1,25.181235256032075,0.0
15,4,0.3,254.45857848253755,0.113
30,3,0.2,2638.803746169221,0.001
30,4,0.3,26951.908884933393,0.0
30,3,0.3,28.745240440924036,0.21
23,2,0.2,30.202934034318762,0.0
15,4,0.4,3110.8127179829085,0.0
15,2,0.1,3.157929204404599,0.011
10,3,0.4,31.644580852658088,0.07
15,3,0.3,35.70352597858925,0.25
23,2,0.3,37.59776151319633,0.025
10,2,0.2,38.525775415058256,0.0
23,4,0.4,42887.61064147089,0.001
20,2,0.2,5.198831897701982,0.0
15,2,0.3,5765.758532587543,0.0
20,2,0.4,598.0124748466832,0.0
23,3,0.4,637.1229783748907,0.0
10,3,0.1,6.87503569026488,0.004
20,2,0.3,737.3400598018849,0.013
30,4,0.1,7.580911258707439,0.0
23,4,0.3,7868.63413492747,0.001
10,4,0.3,79.42630582676907,0.185
23,2,0.1,8.232839764400353,0.0
23,2,0.4,859.0064439038657,0.0
15,2,0.4,9409.441051374462,0.014
