K,d,h,J,Ratio
30,2,0.3,10150.965512732131,0.003
20,3,0.2,1032.858080920488,0.283
30,4,0.2,1051.2582387669368,0.004
30,3,0.4,10594.785302696933,0.001
20,2,0.2,1069.0050900856181,0.047
10,3,0.1,1214.7826743996384,0.065
15,3,0.3,126467.86230716032,0.059
23,3,0.4,15173.980732316559,0.009
30,4,0.3,15784.213617737463,0.001
23,4,0.05,16.816201228549744,0.742
10,2,0.05,1689.259703235424,0.09
15,4,0.2,186.93012235554397,0.077
15,2,0.4,190.64583320742003,0.093
23,2,0.2,195.10538330796868,0.114
20,4,0.3,2128.0128088797596,0.036
15,4,0.1,2.198065090703135,0.775
30,2,0.1,221.72813785145695,0.1
23,3,0.1,224.04913876170718,0.052
15,2,0.05,2356.6982531542953,0.085
20,2,0.05,239.84851069480612,0.11
23,4,0.1,25.863690915653613,0.906
20,4,0.4,26034.993286886503,0.002
10,3,0.05,263.9340961281,0.08
20,3,0.3,2770.4818084928293,0.015
20,2,0.1,284.8264257671933,0.076
20,4,0.2,289.0723959518348,0.004
20,2,0.4,28979.078770694978,0.0
15,3,0.4,29245.98836830425,0.004
10,2,0.1,316.22374594647124,0.087
15,4,0.3,319.3735551897046,0.074
23,2,0.1,320.3498726209202,0.276
15,4,0.05,32.0399660155917,0.283
23,2,0.4,329.889838214741,0.142
30,3,0.2,333.5562502614124,0.05
10,3,0.3,3499.976770755157,0.01
30,3,0.3,3500.8788814732816,0.003
23,3,0.3,358.35323024918836,0.11
10,4,0.3,361.66887383304777,0.058
20,3,0.4,3636.5478684009586,0.011
10,3,0.4,4048.7907386037596,0.013
20,3,0.05,40.65823595247875,0.191
15,2,0.1,412.76585436208285,0.025
10,2,0.2,416.8634738736802,0.143
20,4,0.1,423.4195146599125,0.095
20,4,0.05,442.2878574436492,0.762
20,3,0.1,4.4320931737168054,0.717
23,3,0.05,45.870108682296376,0.352
15,4,0.4,463.28976726572904,0.039
30,2,0.05,471.86051990675423,0.14
10,4,0.1,47.52594776361243,0.295
30,2,0.4,4777.6538766016865,0.02
15,2,0.3,480.0215162017501,0.133
10,2,0.4,522.9337023762291,0.026
10,2,0.3,525.5315709233652,0.04
30,4,0.1,59.14190026885454,0.836
30,2,0.2,5998.519844776122,0.153
10,4,0.05,674.9906578540574,0.035
15,3,0.1,67.67937438569551,0.158
10,3,0.2,697.7747610665921,0.126
15,2,0.2,7045.4616350588985,0.171
20,2,0.3,713.3784523135877,0.081
30,4,0.05,7.156276362785705,0.618
15,3,0.05,75.22101410359491,0.306
23,2,0.3,79195.33912536097,0.071
23,4,0.4,8143.1613645896205,0.008
30,4,0.4,823.1177697968046,0.033
23,4,0.3,824.9658204784752,0.01
15,3,0.2,854.8961873445296,0.016
30,3,0.05,85.78031988328036,0.32
23,3,0.2,8.63202260711344,0.416
30,3,0.1,89.68657923528446,0.329
10,4,0.2,90.85107347314356,0.142
10,4,0.4,94.3347873045781,0.268
23,2,0.05,956.1903620010211,0.203
23,4,0.2,994.8973019263357,0.04
