K,d,h,J,Ratio
30,4,0.1,0.002065263260821445,0.989
20,4,0.1,0.002721769906202256,0.966
10,3,0.2,0.0034841446007803844,0.959
23,4,0.1,0.004336073119820962,0.953
30,3,0.1,0.00477770306838583,0.959
20,4,0.05,0.005362276159961846,0.884
23,4,0.05,0.00553901343818962,0.918
15,4,0.05,0.006494751027897494,0.907
30,4,0.05,0.00730284748565254,0.845
23,2,0.05,0.008891168291457101,0.856
20,2,0.2,0.00909809595780501,0.756
23,3,0.1,0.015097295453194378,0.654
15,3,0.05,0.018016193940917434,0.446
20,2,0.05,0.018335737511355626,0.631
20,4,0.2,0.02675606518869912,0.387
15,2,0.05,0.027785957029416167,0.402
10,2,0.05,0.028211228088719353,0.413
15,3,0.3,0.032930933605603,0.604
23,3,0.3,0.03543897025309056,0.461
10,3,0.05,0.14578528705197732,0.17
20,2,0.3,0.16635858525706565,0.194
20,3,0.2,0.19396818149782544,0.0
15,4,0.2,0.28368815078694937,0.0
15,3,0.2,0.4982432619190611,0.098
23,2,0.2,0.49965710651848805,0.0
30,4,0.2,0.6556973693470457,0.126
10,4,0.2,0.6779132179952826,0.0
30,2,0.05,1.6178112061979932,0.004
10,4,0.1,4.714588532207335,0.02
30,3,0.05,6.072330350798395,0.075
30,3,0.3,6.50719009871468,0.054
23,2,0.1,7.7703721661532,0.051
10,2,0.1,8.212221379371561,0.079
20,3,0.05,8.438794196671733,0.014
15,2,0.2,10.066271271674058,0.003
20,2,0.1,13.847531437145657,0.0
10,4,0.05,14.993807047023514,0.0
23,3,0.05,15.356481785689336,0.0
30,2,0.2,15.755430907208181,0.045
15,4,0.1,16.112798319132658,0.0
23,2,0.3,17.083385100224522,0.0
15,3,0.1,17.679580875100335,0.0
23,3,0.2,19.461007503187563,0.01
30,3,0.2,24.7763307725867,0.0
20,3,0.1,25.324641180511932,0.0
15,2,0.1,34.71776123109782,0.0
30,2,0.1,37.696914815249166,0.0
10,3,0.1,41.34964995322443,0.002
15,2,0.3,43.01664969771043,0.0
10,4,0.4,44.63285337958095,0.046
23,4,0.2,47.03919415882385,0.003
23,4,0.3,49.74818238379631,0.014
10,3,0.3,57.87070077556989,0.001
10,4,0.3,64.17451426245107,0.004
20,4,0.3,81.42416319825422,0.0
15,4,0.3,82.0624418764726,0.003
20,3,0.3,140.916040816635,0.01
30,2,0.4,185.99860177101314,0.002
23,2,0.4,225.1565740197831,0.0
30,2,0.3,417.74150429039867,0.0
10,3,0.4,466.99016956330354,0.007
10,2,0.4,738.9300627089539,0.0
15,2,0.4,784.4241928373647,0.0
20,4,0.4,1168.6468877944646,0.0
20,3,0.4,1574.2764520202531,0.0
20,2,0.4,1950.6783252610605,0.0
10,2,0.2,1984.9947913072579,0.001
30,4,0.3,2013.6738101154483,0.0
10,2,0.3,2588.863885593953,0.0
15,3,0.4,2659.375816799599,0.0
23,3,0.4,4640.782426057912,0.0
15,4,0.4,8691.79125240394,0.0
30,3,0.4,10509.272795219453,0.0
23,4,0.4,18747.74614266971,0.0
30,4,0.4,35081.40740630496,0.0
