K,d,h,J
30,4,0.1,0.1581432339546482
23,4,0.2,0.36377024214621445
30,3,0.1,0.7499861512534348
15,4,0.2,1.000097075140732
30,4,0.05,1.1214422169097413
23,4,0.1,1.2080263694526199
20,4,0.1,2.993274296191862
30,3,0.05,3.1125865994331363
23,4,0.05,5.8877842562903995
23,3,0.05,6.815242599106669
20,4,0.05,7.282200530752921
20,3,0.05,8.304965063181124
10,4,0.1,9.955571737587304
15,4,0.05,10.523708913430294
15,4,0.1,12.003554415784034
10,4,0.05,18.097196269282335
15,3,0.2,19.21343419467719
15,3,0.05,31.917052827645588
20,3,0.1,45.642210761710615
20,3,0.2,95.72010065324501
30,4,0.3,113.2434814760414
10,3,0.05,177.43685990737305
30,2,0.2,190.75783751621145
10,3,0.1,196.53558507185258
30,3,0.2,199.3344829737089
20,2,0.05,208.86754919038378
10,3,0.2,230.25299786119186
30,2,0.3,256.3610967193398
10,2,0.1,282.82559794051843
15,2,0.2,296.25514959382633
30,2,0.05,303.7054709937312
10,2,0.2,304.9264475858841
20,2,0.3,319.66522196366236
20,2,0.2,352.36335543766467
10,4,0.3,353.5488390704875
20,3,0.3,371.78894703865217
15,2,0.05,384.77253367070205
20,4,0.2,390.56995879430855
23,2,0.1,420.9023385246169
20,2,0.4,425.35217670087764
15,4,0.3,426.29735392658705
20,2,0.1,446.22219255575226
10,2,0.3,482.986480932781
15,3,0.1,498.3516845169664
10,2,0.4,555.6989046142186
10,3,0.3,557.0356404915347
15,2,0.1,604.3091133351079
10,3,0.4,669.7235141770439
10,2,0.05,702.6989118642934
30,2,0.1,820.4342064956776
23,3,0.3,879.0967351081102
23,2,0.05,900.9895551202382
15,3,0.4,1042.976346622924
23,2,0.2,1243.6391378437788
23,3,0.2,1251.4144720847178
15,4,0.4,1350.9510668399291
30,3,0.3,1351.3415968120541
10,4,0.4,1482.287939244774
20,3,0.4,1626.4753247926208
15,2,0.3,1820.33048737616
20,4,0.4,4023.647193984015
23,3,0.1,4560.449375536604
15,2,0.4,4843.084658511203
10,4,0.2,5218.108460137604
23,2,0.3,7046.178297137102
30,2,0.4,9997.699153994596
30,3,0.4,11273.091961030079
30,4,0.2,14236.390387625475
20,4,0.3,16592.8524572452
30,4,0.4,19079.670784289665
23,4,0.4,19432.42049251861
15,3,0.3,24163.493411892236
23,2,0.4,60839.847557586836
23,4,0.3,202654.7866424949
23,3,0.4,435457.95863363077
