K,d,h,J
30,4,0.2,0.08201572476933472
23,4,0.2,0.10809256686691317
30,4,0.3,0.14068618388611653
15,4,0.2,0.2302819009741516
15,3,0.3,0.2490357105315411
30,4,0.1,0.24977744806088803
10,3,0.4,0.26618556423226925
30,4,0.05,0.27530402895518274
20,4,0.2,0.31403479951979063
20,4,0.1,0.3702911546601097
30,3,0.3,0.39181858319827445
15,3,0.4,0.46564466615861666
15,3,0.2,0.46839752776774995
15,3,0.05,0.6676984849659173
23,4,0.3,0.867756662304116
30,3,0.1,1.0849281582169377
20,4,0.4,1.2123343637465285
20,3,0.05,1.3649622520785198
20,3,0.2,1.490224487847938
23,3,0.05,1.7194039792280489
10,3,0.05,1.8409537366797237
20,4,0.05,2.075119031645986
23,2,0.3,2.550921575753781
23,3,0.1,2.9587769114317877
20,2,0.2,3.072391588774364
20,2,0.3,3.113904022727944
23,4,0.05,3.1661772486161754
10,4,0.4,3.298559292281159
10,4,0.05,3.5180486835503824
10,3,0.1,3.8229334137804307
20,4,0.3,4.117598515200495
10,4,0.2,4.820470916478795
23,3,0.4,5.040291959511195
15,4,0.05,7.461129199276756
10,2,0.2,7.907776577194807
20,2,0.05,8.04594538998378
30,3,0.05,8.303882763820411
10,2,0.4,8.839230970238612
23,2,0.1,9.520515131863956
15,4,0.1,9.571111282935064
15,2,0.3,10.057800280152078
30,2,0.05,10.246604834384195
10,3,0.3,10.744830954180594
10,2,0.1,12.888522428949079
30,2,0.1,13.211648120734099
20,3,0.1,14.620483023643363
30,3,0.4,14.700959812621786
15,2,0.4,14.764335188940688
23,2,0.4,15.547464076224784
15,2,0.05,15.790248433260313
15,2,0.2,17.462823560488676
15,4,0.4,17.747550936148674
20,2,0.4,19.924410232769716
23,4,0.1,22.200088571201558
23,4,0.4,23.0230277605916
10,4,0.1,23.078730006484147
30,4,0.4,24.418342954386954
23,2,0.05,26.080692879057946
15,4,0.3,30.83141429858127
10,4,0.3,32.51694728805821
10,3,0.2,36.690446090672175
20,2,0.1,38.37152761094124
15,2,0.1,40.528709116527985
30,3,0.2,45.90222764046962
10,2,0.05,50.347200500314706
23,3,0.3,66.62192615639658
23,2,0.2,67.96213625852904
23,3,0.2,75.37885506303631
30,2,0.2,86.7027163185145
10,2,0.3,130.47421043899112
15,3,0.1,132.00531317241976
30,2,0.3,141.22802109735224
20,3,0.3,170.51135104629628
20,3,0.4,222.63020125486065
30,2,0.4,707.2884504358202
