K,d,h,J
10,2,0.05,350.75730234489833
10,2,0.1,303.20472769980773
10,2,0.2,185.44203622698618
10,2,0.3,610.9090458053207
10,2,0.4,17598.020336705034
10,3,0.05,0.5643291397574982
10,3,0.1,0.13009263623542502
10,3,0.2,8.48205197170719
10,3,0.3,319.1593864639215
10,3,0.4,63.26545736600001
10,4,0.05,0.047507846168007316
10,4,0.1,31.03324133380268
10,4,0.2,42.31375232878716
10,4,0.3,4.8862730252333
10,4,0.4,907.2159717117296
15,2,0.05,337.26949879653444
15,2,0.1,147.7383238627107
15,2,0.2,334.24866609336385
15,2,0.3,27.06712301226413
15,2,0.4,1663.6659994013723
15,3,0.05,0.15630062243900528
15,3,0.1,0.3047662571630039
15,3,0.2,0.3318872570622224
15,3,0.3,54.47948783031598
15,3,0.4,332.6065324041476
15,4,0.05,9.637611093036858
15,4,0.1,0.34760657916798016
15,4,0.2,41.85984408861846
15,4,0.3,216.4150036513605
15,4,0.4,1131.6173265220334
20,2,0.05,316.0472166609927
20,2,0.1,128.5571220948116
20,2,0.2,248.63754401388803
20,2,0.3,377.67006159571014
20,2,0.4,321.7913274235151
20,3,0.05,0.092059722393192
20,3,0.1,0.28843384180280845
20,3,0.2,0.2863573446623369
20,3,0.3,24372.82495705779
20,3,0.4,55975.27034870424
20,4,0.05,40.013514494201395
20,4,0.1,32.11662482527413
20,4,0.2,34.21384688749569
20,4,0.3,446.2340947189017
20,4,0.4,7079.888424616765
23,2,0.05,357.7488806066995
23,2,0.1,144.58899100120155
23,2,0.2,285.31511020378133
23,2,0.3,937.3839037919264
23,2,0.4,1902.8574924869497
23,3,0.05,13.932938678342511
23,3,0.1,20.08205598850318
23,3,0.2,22.18473401245295
23,3,0.3,296.39037960912333
23,3,0.4,62424.42615479965
23,4,0.05,1.5099190469852193
23,4,0.1,22.912353182523987
23,4,0.2,0.20564731379446005
23,4,0.3,459.6989542083236
23,4,0.4,399.07807508596
30,2,0.05,191.7421362320806
30,2,0.1,29.566629844202
30,2,0.2,142.59154932145802
30,2,0.3,438.51798214745446
30,2,0.4,61099.852861123356
30,3,0.05,0.05005467806817812
30,3,0.1,20.08024828134579
30,3,0.2,3.4932405518404637
30,3,0.3,11041.729131498296
30,3,0.4,7809.607382343619
30,4,0.05,9.951780615477348
30,4,0.1,21.148880085128592
30,4,0.2,17.465479535608335
30,4,0.3,39203.34948986342
30,4,0.4,187989.55034016573
