K,d,h,J,Ratio
30,2,0.1,0.0045492772062408395,1.0
30,4,0.1,0.0051107322511576275,1.0
20,3,0.1,0.006915158307290348,1.0
20,4,0.1,0.007431454116214413,1.0
10,4,0.05,0.00827943357898875,1.0
20,4,0.05,0.009426445404063136,1.0
30,3,0.05,0.009922976432818328,1.0
23,3,0.05,0.010741526643953782,1.0
30,2,0.05,0.010866950816081047,1.0
10,2,0.1,0.01105725760395765,1.0
10,3,0.1,0.013765218187204652,1.0
15,2,0.1,0.016207514687746758,1.0
15,4,0.05,0.017374170564774066,1.0
23,2,0.05,0.018215318869162483,1.0
20,3,0.05,0.02318879027942255,1.0
10,2,0.05,0.03841169567085966,1.0
20,2,0.3,0.11335634984501643,0.995
10,4,0.2,0.1594275760284497,0.994
30,3,0.3,0.2051811954746514,0.991
15,4,0.1,0.3499195768626345,0.956
20,4,0.2,0.4327880124486685,0.933
15,3,0.2,10.502281583896446,0.0
10,4,0.3,12.080070645453779,0.0
10,3,0.2,12.284019647630045,0.006
23,4,0.3,126.32673029444031,0.03
23,3,0.1,12.814377818276427,0.0
20,4,0.4,1298.984459883389,0.021
30,3,0.2,131.90052494191139,0.126
30,4,0.3,136.89681567817667,0.053
10,4,0.1,13.906008738382036,0.006
20,3,0.4,1409.0541502237202,0.018
23,4,0.2,14.624845074313365,0.0
30,4,0.05,14.791821905856814,0.0
23,3,0.2,1.531876567400747,0.373
23,2,0.1,15.609316323266851,0.0
10,3,0.05,15.705422661727056,0.0
10,2,0.2,1.6498274272269613,0.525
23,3,0.3,16.532456837915525,0.232
10,3,0.3,167.6859998794491,0.033
15,2,0.05,17.120296424894725,0.0
30,3,0.4,1722821.6433351366,0.0
15,4,0.2,18.127543581327103,0.0
15,4,0.3,183.2763532489011,0.034
10,4,0.4,185.93697572359648,0.102
10,2,0.4,197.5711308289354,0.035
30,4,0.4,22642.076733037757,0.008
10,3,0.4,236.93507134721546,0.047
30,3,0.1,25.799017281995262,0.0
23,4,0.05,26.03030219195442,0.0
20,4,0.3,2630.9019307538547,0.0
15,3,0.4,26402.271636118487,0.0
15,2,0.4,28.668319940329305,0.122
20,2,0.1,28.76535337641192,0.0
15,3,0.1,2.942292982242666,0.383
23,4,0.1,31.61141650887456,0.0
10,2,0.3,332.15621631688407,0.075
15,2,0.2,38.34836178421141,0.0
30,4,0.2,4.039945745418998,0.303
20,3,0.3,4.125520242053487,0.012
23,3,0.4,41457.76398253047,0.0
15,2,0.3,42.754765576768065,0.083
20,2,0.2,4.492348430233685,0.38
20,2,0.4,5408.594764231462,0.0
20,3,0.2,542.4720092297249,0.006
15,3,0.05,5.430730677598877,0.0
23,2,0.2,55.80163639137304,0.096
30,2,0.2,5.996341049081217,0.052
30,2,0.3,6794.493685325051,0.0
20,2,0.05,6.803173361096129,0.025
23,4,0.4,73867.51950566703,0.003
15,4,0.4,75.68795596102312,0.074
15,3,0.3,7807.632219486399,0.0
23,2,0.3,8.35167789755475,0.0
30,2,0.4,9103.51698940414,0.0
23,2,0.4,997.2729580341091,0.067
